Local time,Open,High,Low,Close,Volume
2022-08-09,1785.568,1800.364,1783.457,1791.154,30001650.3782
2022-08-10,1791.134,1807.768,1784.344,1785.684,37249485.5227
2022-08-11,1785.684,1799.149,1783.378,1791.014,38117139.8164
2022-08-12,1790.968,1802.548,1784.798,1801.778,31634839.7135
2022-08-15,1795.228,1795.328,1772.818,1781.194,37009429.9913
2022-08-16,1781.184,1782.015,1771.368,1775.718,32134119.9429
2022-08-17,1775.688,1782.194,1759.714,1762.214,39811625.9279
2022-08-18,1762.234,1772.294,1753.354,1754.088,36512830.2874
2022-08-19,1754.048,1757.998,1745.438,1746.498,31749570.0417
2022-08-22,1746.418,1746.418,1727.668,1738.324,39720120.5194
2022-08-23,1738.314,1753.974,1730.688,1745.308,40207679.5997
2022-08-24,1745.318,1757.614,1742.355,1756.294,34838370.1446
2022-08-25,1756.254,1765.368,1752.194,1757.308,33105210.0808
2022-08-26,1757.248,1758.684,1734.058,1737.338,35914440.4534
2022-08-29,1724.418,1745.418,1720.208,1734.864,35734999.8653
2022-08-30,1734.844,1737.838,1720.484,1723.918,40536229.8191
2022-08-31,1723.878,1726.428,1702.174,1704.514,44707190.2754
2022-09-01,1704.484,1708.604,1688.668,1699.424,39138489.6338
2022-09-02,1699.404,1717.878,1698.508,1711.278,35192496.7468
2022-09-06,1717.658,1720.664,1692.288,1693.284,47978660.0471
2022-09-07,1693.284,1719.318,1691.218,1714.358,44907839.924
2022-09-08,1714.358,1728.095,1703.878,1719.188,49360718.8168
2022-09-09,1719.188,1729.344,1711.258,1715.938,35643336.0577
2022-09-12,1713.488,1735.035,1711.808,1721.208,46719150.1259
2022-09-13,1721.208,1731.71,1696.934,1700.294,55554845.9293
2022-09-14,1700.324,1707.014,1690.318,1692.604,49657960.4147
2022-09-15,1692.588,1693.174,1660.24,1664.288,50143320.1433
2022-09-16,1664.258,1680.245,1654.048,1673.898,42991969.7046
2022-09-19,1669.068,1679.288,1659.583,1676.865,43217430.0851
2022-09-20,1677.038,1677.115,1659.875,1663.635,42573249.6978
2022-09-21,1663.625,1687.948,1653.649,1660.395,57087330.1923
2022-09-22,1660.395,1684.788,1655.536,1669.025,61346899.8671
2022-09-23,1669.025,1674.058,1639.617,1643.598,51902810.2755
2022-09-26,1638.318,1649.648,1621.033,1631.058,61817202.3895
2022-09-27,1631.058,1642.335,1622.903,1624.503,67815779.686
2022-09-28,1624.508,1662.645,1614.71,1654.285,63528209.7754
2022-09-29,1654.345,1665.165,1641.408,1662.098,59496244.6092
2022-09-30,1662.098,1675.265,1659.968,1659.978,47631229.6986
2022-10-03,1663.813,1702.465,1659.595,1699.718,48493603.6467
2022-10-04,1699.718,1729.435,1697.294,1719.224,50612139.910500005
2022-10-05,1719.244,1727.664,1700.458,1722.075,53793609.649
2022-10-06,1722.078,1725.434,1706.812,1709.732,43237349.8228
2022-10-07,1709.728,1714.724,1690.504,1694.458,39781209.886
2022-10-11,1664.028,1683.84,1660.91,1665.208,50110660.1357
2022-10-12,1665.185,1678.215,1664.628,1669.148,47544488.4
2022-10-13,1669.138,1682.336,1642.288,1668.928,58288849.8157
2022-10-14,1668.888,1671.655,1640.095,1643.618,48890559.5841
2022-10-17,1650.065,1668.268,1646.638,1652.358,54173409.8195
2022-10-18,1652.398,1660.707,1646.508,1649.098,55865939.7812
2022-10-19,1649.198,1649.385,1622.257,1626.067,75632199.9135
2022-10-20,1626.077,1645.438,1620.508,1621.498,81994399.9647
2022-10-21,1621.498,1657.798,1617.067,1657.298,105367645.6808
