Date,Gold,Gold Price,SMA_30,SMA_50,EMA_20,MACD,MACD_signal,RSI,BB_middle,BB_upper,BB_lower
2020-04-22,87,1710.048,1619.1673666666668,1623.15542,1665.1195032792928,28.33062130479857,26.185207915509125,73.21043811347857,1660.48085,1749.5913908692496,1571.3703091307502
2020-04-23,84,1723.418,1624.6154666666666,1626.1496199999997,1670.6717410622173,29.45205911197945,26.83857815480319,74.36661016172627,1665.4018499999997,1757.0946985216276,1573.7090014783719
2020-04-24,82,1727.698,1631.2271333333333,1629.2116800000001,1676.1028133420061,30.33646697672839,27.53815591918823,68.92011998666817,1670.47935,1764.2431328998723,1576.7155671001278
2020-04-27,85,1698.178,1637.8074666666664,1631.50228,1678.2052120713388,28.328792603221245,27.696283255994835,62.598385469223004,1674.6919999999998,1765.2739959803773,1584.1100040196222
2020-04-28,81,1710.068,1643.7338000000002,1633.66754,1681.2397633026399,27.381483135622148,27.6333232319203,64.64444126484474,1680.979,1762.1150092424389,1599.8429907575612
2020-04-29,84,1712.458,1651.8398000000002,1635.7274,1684.2129287023884,26.51790468510285,27.41023952255681,58.48686789494319,1687.3375,1755.8480393275152,1618.826960672485
2020-04-30,82,1688.073,1658.6529666666668,1636.9689600000002,1684.5805545402561,23.593871372757576,26.646965892596967,51.459683181000756,1691.0862499999998,1750.0296154384455,1632.1428845615542
2020-05-01,90,1698.818,1665.3236333333332,1638.08236,1685.9365017268983,21.891237052569522,25.695820124591478,43.94275634459999,1695.1747500000001,1742.7403776023993,1647.609122397601
2020-05-04,82,1698.198,1669.5453000000002,1638.93562,1687.1042634671937,20.258332818204963,24.608322663314176,43.599590373783926,1697.10575,1741.6248378606801,1652.5866621393197
2020-05-05,85,1702.315,1672.462533333333,1640.15262,1688.5529050417467,19.076549354606186,23.50196800157258,46.543744272235266,1699.8095999999998,1737.9426684585274,1661.6765315414723
2020-05-06,80,1691.688,1675.3509666666666,1640.94122,1688.8514855139613,17.085516163985176,22.218677634055098,46.15349443314058,1701.9611,1731.9225383106302,1671.9996616893698
2020-05-07,83,1715.448,1678.3659666666667,1642.4742800000001,1691.384486893584,17.22626775351,21.22019565794608,59.52589791199154,1703.6261000000002,1732.637567866121,1674.6146321338795
2020-05-08,82,1701.408,1680.8746333333333,1644.79374,1692.339107189433,16.020232471758618,20.18020302070859,53.44631408503093,1704.5891,1731.822878676675,1677.355321323325
2020-05-11,82,1700.375,1683.7563,1646.80008,1693.104430314249,14.810361724269796,19.106234761420833,54.911283841125886,1703.6024499999999,1729.8820264082983,1677.3228735917014
2020-05-12,86,1702.808,1687.7056333333335,1647.9958800000002,1694.02857980813,13.887763711573143,18.062540551451296,47.637229945825986,1702.70795,1727.7249857238844,1677.6909142761156
2020-05-13,86,1713.428,1691.9769666666666,1649.4714800000002,1695.876143635927,13.853844884399678,17.220801418040974,46.68018077894464,1702.66395,1727.5980397692426,1677.7298602307576
2020-05-14,86,1732.058,1695.9423,1650.54548,1699.3220347182198,15.155545576677923,16.807750249768365,51.322735270917995,1704.00945,1732.1995909452912,1675.8193090547088
2020-05-15,88,1741.628,1700.0949666666666,1651.9070800000002,1703.3511742688656,16.76610257972584,16.79942071575986,64.99723871324034,1706.9909499999999,1737.8645931585875,1676.1173068414123
2020-05-18,89,1736.668,1702.6646333333335,1653.3087399999997,1706.5242052908784,17.441198777786212,16.927776328165134,59.64257231929237,1709.3839500000001,1741.708593995917,1677.0593060040833
2020-05-19,85,1749.188,1706.029633333333,1655.1168000000002,1710.5874238346044,18.770106639198048,17.296242390371717,62.40375523436445,1712.6984499999999,1747.1148813234495,1678.2820186765503
2020-05-20,87,1741.338,1709.1189666666667,1657.2056,1713.5160501360706,18.971158591709127,17.6312256306392,70.24900209085719,1714.2629499999998,1750.942434508081,1677.5834654919186
2020-05-21,86,1727.375,1710.6265333333333,1660.5536,1714.8359501231114,17.798624838358137,17.664705472182987,60.59683991005098,1714.4608,1751.3900489846199,1677.5315510153803
2020-05-22,85,1733.648,1712.3432,1664.6396,1716.6275739209102,17.177549962218563,17.567274370190102,62.625003561354944,1714.7583,1752.2284561251315,1677.2881438748684
