index,Date,Gold
1243,2021-05-28,59
1244,2021-05-29,60
1245,2021-05-30,57
1246,2021-05-31,57
1247,2021-06-01,57
1248,2021-06-02,57
1249,2021-06-03,59
1250,2021-06-04,58
1251,2021-06-05,61
1252,2021-06-06,63
1253,2021-06-07,58
1254,2021-06-08,58
1255,2021-06-09,57
1256,2021-06-10,57
1257,2021-06-11,54
1258,2021-06-12,60
1259,2021-06-13,58
1260,2021-06-14,57
1261,2021-06-15,59
1262,2021-06-16,59
1263,2021-06-17,61
1264,2021-06-18,64
1265,2021-06-19,65
1266,2021-06-20,62
1267,2021-06-21,65
1268,2021-06-22,64
1269,2021-06-23,60
1270,2021-06-24,61
1271,2021-06-25,63
1272,2021-06-26,64
1273,2021-06-27,59
1274,2021-06-28,61
1275,2021-06-29,62
1276,2021-06-30,64
1277,2021-07-01,64
1278,2021-07-02,63
1279,2021-07-03,62
1280,2021-07-04,63
1281,2021-07-05,59
1282,2021-07-06,59
1283,2021-07-07,58
1284,2021-07-08,62
1285,2021-07-09,61
1286,2021-07-10,63
1287,2021-07-11,62
1288,2021-07-12,69
1289,2021-07-13,63
1290,2021-07-14,64
1291,2021-07-15,63
1292,2021-07-16,65
1293,2021-07-17,68
1294,2021-07-18,66
1295,2021-07-19,66
1296,2021-07-20,62
1297,2021-07-21,65
1298,2021-07-22,65
1299,2021-07-23,61
1300,2021-07-24,66
1301,2021-07-25,84
1302,2021-07-26,83
1303,2021-07-27,81
1304,2021-07-28,72
1305,2021-07-29,86
1306,2021-07-30,80
1307,2021-07-31,72
1308,2021-08-01,80
1309,2021-08-02,87
1310,2021-08-03,72
1311,2021-08-04,70
1312,2021-08-05,70
1313,2021-08-06,73
1314,2021-08-07,100
1315,2021-08-08,88
1316,2021-08-09,86
1317,2021-08-10,75
1318,2021-08-11,70
1319,2021-08-12,72
1320,2021-08-13,70
1321,2021-08-14,66
1322,2021-08-15,65
1323,2021-08-16,62
1324,2021-08-17,61
1325,2021-08-18,62
1326,2021-08-19,61
1327,2021-08-20,61
1328,2021-08-21,63
1329,2021-08-22,60
1330,2021-08-23,60
1331,2021-08-24,61
1332,2021-08-25,57
1333,2021-08-26,60
1334,2021-08-27,59
1335,2021-08-28,62
1336,2021-08-29,57
1337,2021-08-30,59
1338,2021-08-31,58
1339,2021-09-01,59
1340,2021-09-02,55
1341,2021-09-03,57
1342,2021-09-04,61
1343,2021-09-05,57
1344,2021-09-06,56
1345,2021-09-07,56
1346,2021-09-08,58
1347,2021-09-09,55
1348,2021-09-10,53
1349,2021-09-11,61
1350,2021-09-12,60
1351,2021-09-13,57
1352,2021-09-14,57
1353,2021-09-15,56
1354,2021-09-16,56
1355,2021-09-17,63
1356,2021-09-18,66
1357,2021-09-19,60
1358,2021-09-20,60
1359,2021-09-21,60
1360,2021-09-22,61
1361,2021-09-23,60
1362,2021-09-24,62
1363,2021-09-25,63
1364,2021-09-26,59
1365,2021-09-27,57
1366,2021-09-28,61
1367,2021-09-29,59
1368,2021-09-30,60
1369,2021-10-01,61
1370,2021-10-02,62
1371,2021-10-03,60
1372,2021-10-04,56
1373,2021-10-05,58
1374,2021-10-06,57
1375,2021-10-07,59
1376,2021-10-08,59
1377,2021-10-09,63
1378,2021-10-10,57
1379,2021-10-11,56
1380,2021-10-12,60
1381,2021-10-13,58
1382,2021-10-14,59
1383,2021-10-15,60
1384,2021-10-16,61
1385,2021-10-17,59
1386,2021-10-18,59
1387,2021-10-19,56
1388,2021-10-20,59
1389,2021-10-21,60
1390,2021-10-22,59
1391,2021-10-23,64
1392,2021-10-24,60
1393,2021-10-25,63
1394,2021-10-26,62
1395,2021-10-27,60
1396,2021-10-28,62
1397,2021-10-29,62
1398,2021-10-30,64
1399,2021-10-31,62
1400,2021-11-01,63
1401,2021-11-02,70
1402,2021-11-03,59
1403,2021-11-04,60
1404,2021-11-05,59
1405,2021-11-06,60
1406,2021-11-07,56
1407,2021-11-08,59
1408,2021-11-09,60
1409,2021-11-10,60
1410,2021-11-11,62
1411,2021-11-12,64
1412,2021-11-13,61
1413,2021-11-14,62
1414,2021-11-15,64
1415,2021-11-16,59
1416,2021-11-17,59
1417,2021-11-18,58
1418,2021-11-19,58
1419,2021-11-20,59
1420,2021-11-21,60
1421,2021-11-22,61
1422,2021-11-23,59
1423,2021-11-24,62
1424,2021-11-25,64
1425,2021-11-26,65
1426,2021-11-27,67
1427,2021-11-28,61
1428,2021-11-29,61
1429,2021-11-30,60
1430,2021-12-01,64
1431,2021-12-02,63
1432,2021-12-03,62
1433,2021-12-04,66
1434,2021-12-05,62
1435,2021-12-06,58
1436,2021-12-07,60
1437,2021-12-08,60
1438,2021-12-09,58
1439,2021-12-10,60
1440,2021-12-11,68
1441,2021-12-12,58
1442,2021-12-13,58
1443,2021-12-14,57
1444,2021-12-15,57
1445,2021-12-16,58
1446,2021-12-17,59
1447,2021-12-18,61
1448,2021-12-19,61
1449,2021-12-20,57
1450,2021-12-21,59
1451,2021-12-22,56
1452,2021-12-23,58
1453,2021-12-24,59
1454,2021-12-25,62
1455,2021-12-26,60
1456,2021-12-27,61
1457,2021-12-28,61
1458,2021-12-29,58
1459,2021-12-30,61
1460,2021-12-31,60
1461,2022-01-01,63
1462,2022-01-02,44
1463,2022-01-03,44
1464,2022-01-04,100
1465,2022-01-05,33
1466,2022-01-06,35
1467,2022-01-07,45
1468,2022-01-08,46
1469,2022-01-09,42
1470,2022-01-10,41
1471,2022-01-11,42
1472,2022-01-12,40
1473,2022-01-13,78
1474,2022-01-14,32
1475,2022-01-15,41
1476,2022-01-16,44
1477,2022-01-17,33
1478,2022-01-18,35
1479,2022-01-19,37
1480,2022-01-20,37
1481,2022-01-21,38
1482,2022-01-22,43
1483,2022-01-23,41
1484,2022-01-24,87
1485,2022-01-25,35
1486,2022-01-26,36
1487,2022-01-27,38
1488,2022-01-28,44
1489,2022-01-29,46
1490,2022-01-30,41
1491,2022-01-31,41
1492,2022-02-01,42
1493,2022-02-02,44
1494,2022-02-03,43
1495,2022-02-04,41
1496,2022-02-05,45
1497,2022-02-06,45
1498,2022-02-07,45
1499,2022-02-08,40
1500,2022-02-09,43
1501,2022-02-10,37
1502,2022-02-11,46
1503,2022-02-12,48
1504,2022-02-13,44
1505,2022-02-14,47
1506,2022-02-15,46
1507,2022-02-16,45
1508,2022-02-17,45
1509,2022-02-18,47
1510,2022-02-19,48
1511,2022-02-20,46
1512,2022-02-21,45
1513,2022-02-22,46
1514,2022-02-23,43
1515,2022-02-24,62
1516,2022-02-25,58
1517,2022-02-26,53
1518,2022-02-27,51
1519,2022-02-28,51
1520,2022-03-01,46
1521,2022-03-02,49
1522,2022-03-03,48
1523,2022-03-04,50
1524,2022-03-05,51
1525,2022-03-06,48
1526,2022-03-07,57
1527,2022-03-08,55
1528,2022-03-09,55
1529,2022-03-10,56
1530,2022-03-11,53
1531,2022-03-12,52
1532,2022-03-13,47
1533,2022-03-14,49
1534,2022-03-15,47
1535,2022-03-16,48
1536,2022-03-17,49
1537,2022-03-18,50
1538,2022-03-19,47
1539,2022-03-20,47
1540,2022-03-21,47
1541,2022-03-22,47
1542,2022-03-23,45
1543,2022-03-24,44
1544,2022-03-25,45
1545,2022-03-26,46
1546,2022-03-27,46
1547,2022-03-28,44
1548,2022-03-29,44
1549,2022-03-30,43
1550,2022-03-31,44
1551,2022-04-01,43
1552,2022-04-02,45
1553,2022-04-03,45
1554,2022-04-04,44
1555,2022-04-05,45
1556,2022-04-06,43
1557,2022-04-07,46
1558,2022-04-08,44
1559,2022-04-09,45
1560,2022-04-10,48
1561,2022-04-11,45
1562,2022-04-12,45
1563,2022-04-13,45
1564,2022-04-14,42
1565,2022-04-15,46
1566,2022-04-16,46
1567,2022-04-17,42
1568,2022-04-18,45
1569,2022-04-19,44
1570,2022-04-20,45
1571,2022-04-21,45
1572,2022-04-22,44
1573,2022-04-23,48
1574,2022-04-24,45
1575,2022-04-25,46
1576,2022-04-26,45
1577,2022-04-27,44
1578,2022-04-28,49
1579,2022-04-29,47
1580,2022-04-30,47
1581,2022-05-01,46
1582,2022-05-02,48
1583,2022-05-03,55
1584,2022-05-04,46
1585,2022-05-05,46
1586,2022-05-06,46
1587,2022-05-07,48
1588,2022-05-08,43
1589,2022-05-09,44
1590,2022-05-10,45
1591,2022-05-11,44
1592,2022-05-12,45
1593,2022-05-13,47
1594,2022-05-14,47
1595,2022-05-15,45
1596,2022-05-16,48
1597,2022-05-17,45
1598,2022-05-18,42
1599,2022-05-19,42
1600,2022-05-20,43
1601,2022-05-21,42
1602,2022-05-22,43
1603,2022-05-23,42
1604,2022-05-24,42
1605,2022-05-25,41
1606,2022-05-26,42
1607,2022-05-27,42
1608,2022-05-28,44
1609,2022-05-29,42
1610,2022-05-30,42
1611,2022-05-31,41
1612,2022-06-01,41
1613,2022-06-02,73
1614,2022-06-03,80
1615,2022-06-04,80
1616,2022-06-05,76
1617,2022-06-06,75
1618,2022-06-07,75
1619,2022-06-08,75
1620,2022-06-09,78
1621,2022-06-10,73
1622,2022-06-11,80
1623,2022-06-12,76
1624,2022-06-13,77
1625,2022-06-14,83
1626,2022-06-15,80
1627,2022-06-16,82
1628,2022-06-17,74
1629,2022-06-18,80
1630,2022-06-19,81
1631,2022-06-20,76
1632,2022-06-21,73
1633,2022-06-22,77
1634,2022-06-23,74
1635,2022-06-24,77
1636,2022-06-25,80
1637,2022-06-26,75
1638,2022-06-27,77
1639,2022-06-28,74
1640,2022-06-29,74
1641,2022-06-30,77
1642,2022-07-01,80
1643,2022-07-02,86
1644,2022-07-03,83
1645,2022-07-04,78
1646,2022-07-05,79
1647,2022-07-06,86
1648,2022-07-07,84
1649,2022-07-08,80
1650,2022-07-09,87
1651,2022-07-10,80
1652,2022-07-11,82
1653,2022-07-12,85
1654,2022-07-13,83
1655,2022-07-14,81
1656,2022-07-15,83
1657,2022-07-16,89
1658,2022-07-17,86
1659,2022-07-18,86
1660,2022-07-19,84
1661,2022-07-20,85
1662,2022-07-21,85
1663,2022-07-22,88
1664,2022-07-23,88
1665,2022-07-24,82
1666,2022-07-25,84
1667,2022-07-26,84
1668,2022-07-27,82
1669,2022-07-28,84
1670,2022-07-29,87
1671,2022-07-30,87
1672,2022-07-31,88
1673,2022-08-01,85
1674,2022-08-02,79
1675,2022-08-03,85
1676,2022-08-04,84
1677,2022-08-05,86
1678,2022-08-06,89
1679,2022-08-07,90
1680,2022-08-08,88
1681,2022-08-09,82
1682,2022-08-10,81
1683,2022-08-11,79
1684,2022-08-12,82
1685,2022-08-13,83
1686,2022-08-14,82
1687,2022-08-15,77
1688,2022-08-16,79
1689,2022-08-17,82
1690,2022-08-18,81
1691,2022-08-19,80
1692,2022-08-20,86
1693,2022-08-21,81
1694,2022-08-22,82
1695,2022-08-23,81
1696,2022-08-24,79
1697,2022-08-25,76
1698,2022-08-26,79
1699,2022-08-27,85
1700,2022-08-28,80
1701,2022-08-29,79
1702,2022-08-30,80
1703,2022-08-31,76
1704,2022-09-01,80
1705,2022-09-02,83
1706,2022-09-03,82
1707,2022-09-04,78
1708,2022-09-05,76
1709,2022-09-06,77
1710,2022-09-07,76
1711,2022-09-08,74
1712,2022-09-09,77
1713,2022-09-10,86
1714,2022-09-11,78
1715,2022-09-12,77
1716,2022-09-13,75
1717,2022-09-14,77
1718,2022-09-15,84
1719,2022-09-16,87
1720,2022-09-17,88
1721,2022-09-18,80
1722,2022-09-19,87
1723,2022-09-20,83
1724,2022-09-21,85
1725,2022-09-22,87
1726,2022-09-23,84
1727,2022-09-24,89
1728,2022-09-25,80
1729,2022-09-26,85
1730,2022-09-27,86
1731,2022-09-28,84
1732,2022-09-29,82
1733,2022-09-30,81
1734,2022-10-01,83
1735,2022-10-02,78
1736,2022-10-03,80
1737,2022-10-04,79
1738,2022-10-05,83
1739,2022-10-06,82
1740,2022-10-07,87
1741,2022-10-08,84
1742,2022-10-09,78
1743,2022-10-10,82
1744,2022-10-11,80
1745,2022-10-12,83
1746,2022-10-13,83
1747,2022-10-14,83
1748,2022-10-15,86
1749,2022-10-16,78
1750,2022-10-17,80
1751,2022-10-18,80
1752,2022-10-19,81
1753,2022-10-20,79
1754,2022-10-21,87
1755,2022-10-22,100
1756,2022-10-23,85
1757,2022-10-24,73
1758,2022-10-25,75
1759,2022-10-26,74
1760,2022-10-27,76
1761,2022-10-28,79
1762,2022-10-29,84
1763,2022-10-30,74
1764,2022-10-31,73
1765,2022-11-01,81
1766,2022-11-02,79
1767,2022-11-03,80
1768,2022-11-04,80
1769,2022-11-05,84
1770,2022-11-06,77
1771,2022-11-07,76
1772,2022-11-08,75
1773,2022-11-09,73
1774,2022-11-10,77
1775,2022-11-11,81
1776,2022-11-12,84
1777,2022-11-13,80
1778,2022-11-14,85
1779,2022-11-15,79
1780,2022-11-16,79
1781,2022-11-17,75
1782,2022-11-18,81
1783,2022-11-19,84
1784,2022-11-20,79
1785,2022-11-21,75
1786,2022-11-22,72
1787,2022-11-23,73
1788,2022-11-24,71
1789,2022-11-25,78
1790,2022-11-26,81
1791,2022-11-27,75
1792,2022-11-28,78
1793,2022-11-29,78
1794,2022-11-30,72
1795,2022-12-01,79
1796,2022-12-02,80
1797,2022-12-03,82
1798,2022-12-04,78
1799,2022-12-05,80
1800,2022-12-06,79
1801,2022-12-07,77
1802,2022-12-08,78
1803,2022-12-09,79
1804,2022-12-10,78
1805,2022-12-11,79
1806,2022-12-12,80
1807,2022-12-13,78
1808,2022-12-14,78
1809,2022-12-15,77
1810,2022-12-16,80
1811,2022-12-17,85
1812,2022-12-18,78
1813,2022-12-19,82
1814,2022-12-20,82
1815,2022-12-21,84
1816,2022-12-22,80
1817,2022-12-23,85
1818,2022-12-24,84
1819,2022-12-25,80
1820,2022-12-26,85
1821,2022-12-27,88
1822,2022-12-28,84
1823,2022-12-29,88
1824,2022-12-30,86
1825,2022-12-31,86
1826,2023-01-01,82
1827,2023-01-02,84
1828,2023-01-03,79
1829,2023-01-04,84
1830,2023-01-05,83
1831,2023-01-06,84
1832,2023-01-07,84
1833,2023-01-08,79
1834,2023-01-09,81
1835,2023-01-10,77
1836,2023-01-11,75
1837,2023-01-12,78
1838,2023-01-13,76
1839,2023-01-14,77
1840,2023-01-15,75
1841,2023-01-16,80
1842,2023-01-17,78
1843,2023-01-18,76
1844,2023-01-19,75
1845,2023-01-20,77
1846,2023-01-21,78
1847,2023-01-22,77
1848,2023-01-23,77
1849,2023-01-24,78
1850,2023-01-25,78
1851,2023-01-26,76
1852,2023-01-27,80
1853,2023-01-28,88
1854,2023-01-29,79
1855,2023-01-30,79
1856,2023-01-31,85
1857,2023-02-01,85
1858,2023-02-02,90
1859,2023-02-03,89
1860,2023-02-04,87
1861,2023-02-05,84
1862,2023-02-06,87
1863,2023-02-07,78
1864,2023-02-08,79
1865,2023-02-09,76
1866,2023-02-10,76
1867,2023-02-11,83
1868,2023-02-12,81
1869,2023-02-13,82
1870,2023-02-14,79
1871,2023-02-15,80
1872,2023-02-16,78
1873,2023-02-17,78
1874,2023-02-18,83
1875,2023-02-19,85
1876,2023-02-20,76
1877,2023-02-21,76
1878,2023-02-22,79
1879,2023-02-23,75
1880,2023-02-24,79
1881,2023-02-25,89
1882,2023-02-26,81
1883,2023-02-27,81
1884,2023-02-28,82
1885,2023-03-01,70
1886,2023-03-02,75
1887,2023-03-03,76
1888,2023-03-04,79
1889,2023-03-05,77
1890,2023-03-06,81
1891,2023-03-07,71
1892,2023-03-08,72
1893,2023-03-09,76
1894,2023-03-10,82
1895,2023-03-11,82
1896,2023-03-12,79
1897,2023-03-13,82
1898,2023-03-14,82
1899,2023-03-15,81
1900,2023-03-16,79
1901,2023-03-17,88
1902,2023-03-18,91
1903,2023-03-19,86
1904,2023-03-20,92
1905,2023-03-21,90
1906,2023-03-22,83
1907,2023-03-23,84
1908,2023-03-24,89
1909,2023-03-25,86
1910,2023-03-26,82
1911,2023-03-27,85
1912,2023-03-28,79
1913,2023-03-29,79
1914,2023-03-30,76
1915,2023-03-31,81
1916,2023-04-01,88
1917,2023-04-02,82
1918,2023-04-03,80
1919,2023-04-04,83
1920,2023-04-05,83
1921,2023-04-06,85
1922,2023-04-07,81
1923,2023-04-08,86
1924,2023-04-09,80
1925,2023-04-10,87
1926,2023-04-11,82
1927,2023-04-12,82
1928,2023-04-13,79
1929,2023-04-14,85
1930,2023-04-15,86
1931,2023-04-16,86
1932,2023-04-17,81
1933,2023-04-18,78
1934,2023-04-19,71
1935,2023-04-20,80
1936,2023-04-21,83
1937,2023-04-22,100
1938,2023-04-23,83
1939,2023-04-24,81
1940,2023-04-25,74
1941,2023-04-26,76
1942,2023-04-27,75
1943,2023-04-28,78
1944,2023-04-29,77
1945,2023-04-30,77
1946,2023-05-01,80
1947,2023-05-02,76
1948,2023-05-03,76
1949,2023-05-04,78
1950,2023-05-05,80
1951,2023-05-06,79
1952,2023-05-07,75
1953,2023-05-08,81
1954,2023-05-09,72
1955,2023-05-10,76
1956,2023-05-11,76
1957,2023-05-12,76
1958,2023-05-13,76
1959,2023-05-14,74
1960,2023-05-15,75
1961,2023-05-16,76
1962,2023-05-17,77
1963,2023-05-18,75
1964,2023-05-19,79
1965,2023-05-20,80
1966,2023-05-21,75
1967,2023-05-22,77
1968,2023-05-23,77
1969,2023-05-24,72
1970,2023-05-25,77
1971,2023-05-26,75
1972,2023-05-27,81
1973,2023-05-28,77
1974,2023-05-29,77
1975,2023-05-30,77
1976,2023-05-31,72
1977,2023-06-01,73
1978,2023-06-02,77
1979,2023-06-03,79
1980,2023-06-04,74
1981,2023-06-05,77
1982,2023-06-06,71
1983,2023-06-07,69
1984,2023-06-08,71
1985,2023-06-09,71
1986,2023-06-10,74
1987,2023-06-11,71
1988,2023-06-12,70
1989,2023-06-13,71
1990,2023-06-14,70
1991,2023-06-15,74
1992,2023-06-16,74
1993,2023-06-17,76
1994,2023-06-18,73
1995,2023-06-19,74
1996,2023-06-20,72
1997,2023-06-21,72
1998,2023-06-22,76
1999,2023-06-23,78
2000,2023-06-24,79
2001,2023-06-25,85
2002,2023-06-26,79
2003,2023-06-27,78
2004,2023-06-28,80
2005,2023-06-29,77
2006,2023-06-30,84
2007,2023-07-01,84
2008,2023-07-02,87
2009,2023-07-03,90
2010,2023-07-04,84
2011,2023-07-05,83
2012,2023-07-06,80
2013,2023-07-07,79
2014,2023-07-08,83
2015,2023-07-09,89
2016,2023-07-10,88
2017,2023-07-11,77
2018,2023-07-12,81
2019,2023-07-13,87
2020,2023-07-14,83
2021,2023-07-15,80
2022,2023-07-16,83
2023,2023-07-17,82
2024,2023-07-18,76
2025,2023-07-19,76
2026,2023-07-20,73
2027,2023-07-21,74
2028,2023-07-22,76
2029,2023-07-23,74
2030,2023-07-24,73
2031,2023-07-25,74
2032,2023-07-26,74
2033,2023-07-27,72
2034,2023-07-28,74
2035,2023-07-29,75
2036,2023-07-30,75
2037,2023-07-31,75
2038,2023-08-01,72
2039,2023-08-02,74
2040,2023-08-03,74
2041,2023-08-04,75
2042,2023-08-05,73
2043,2023-08-06,72
2044,2023-08-07,74
2045,2023-08-08,70
2046,2023-08-09,75
2047,2023-08-10,74
2048,2023-08-11,77
2049,2023-08-12,72
2050,2023-08-13,78
2051,2023-08-14,73
2052,2023-08-15,72
2053,2023-08-16,70
2054,2023-08-17,73
2055,2023-08-18,77
2056,2023-08-19,78
2057,2023-08-20,72
2058,2023-08-21,73
2059,2023-08-22,72
2060,2023-08-23,74
2061,2023-08-24,72
2062,2023-08-25,70
2063,2023-08-26,74
2064,2023-08-27,73
2065,2023-08-28,73
2066,2023-08-29,70
2067,2023-08-30,69
2068,2023-08-31,72
2069,2023-09-01,70
2070,2023-09-02,73
2071,2023-09-03,73
2072,2023-09-04,72
2073,2023-09-05,70
2074,2023-09-06,69
2075,2023-09-07,72
2076,2023-09-08,75
2077,2023-09-09,76
2078,2023-09-10,77
2079,2023-09-11,73
2080,2023-09-12,71
2081,2023-09-13,77
2082,2023-09-14,73
2083,2023-09-15,74
2084,2023-09-16,74
2085,2023-09-17,74
2086,2023-09-18,67
2087,2023-09-19,70
2088,2023-09-20,70
2089,2023-09-21,71
2090,2023-09-22,71
2091,2023-09-23,75
2092,2023-09-24,71
2093,2023-09-25,74
2094,2023-09-26,69
2095,2023-09-27,76
2096,2023-09-28,80
2097,2023-09-29,78
2098,2023-09-30,86
2099,2023-10-01,83
2100,2023-10-02,83
2101,2023-10-03,89
2102,2023-10-04,91
2103,2023-10-05,94
2104,2023-10-06,91
2105,2023-10-07,99
2106,2023-10-08,90
2107,2023-10-09,97
2108,2023-10-10,89
2109,2023-10-11,81
2110,2023-10-12,80
2111,2023-10-13,84
2112,2023-10-14,84
2113,2023-10-15,83
2114,2023-10-16,83
2115,2023-10-17,76
2116,2023-10-18,79
2117,2023-10-19,79
2118,2023-10-20,75
2119,2023-10-21,80
2120,2023-10-22,74
2121,2023-10-23,73
2122,2023-10-24,75
2123,2023-10-25,76
2124,2023-10-26,80
2125,2023-10-27,76
2126,2023-10-28,77
2127,2023-10-29,76
2128,2023-10-30,76
2129,2023-10-31,75
2130,2023-11-01,77
2131,2023-11-02,72
2132,2023-11-03,79
2133,2023-11-04,80
2134,2023-11-05,81
2135,2023-11-06,80
2136,2023-11-07,75
2137,2023-11-08,78
2138,2023-11-09,82
2139,2023-11-10,100
2140,2023-11-11,85
2141,2023-11-12,74
2142,2023-11-13,75
2143,2023-11-14,76
2144,2023-11-15,73
2145,2023-11-16,73
2146,2023-11-17,71
2147,2023-11-18,81
2148,2023-11-19,72
2149,2023-11-20,76
2150,2023-11-21,74
2151,2023-11-22,74
2152,2023-11-23,70
2153,2023-11-24,75
2154,2023-11-25,83
2155,2023-11-26,75
2156,2023-11-27,74
2157,2023-11-28,77
2158,2023-11-29,81
2159,2023-11-30,76
2160,2023-12-01,78
2161,2023-12-02,84
2162,2023-12-03,76
2163,2023-12-04,85
2164,2023-12-05,85
2165,2023-12-06,82
2166,2023-12-07,77
2167,2023-12-08,82
2168,2023-12-09,89
2169,2023-12-10,82
2170,2023-12-11,83
2171,2023-12-12,82
2172,2023-12-13,81
2173,2023-12-14,82
2174,2023-12-15,80
2175,2023-12-16,82
2176,2023-12-17,78
2177,2023-12-18,83
2178,2023-12-19,79
2179,2023-12-20,80
2180,2023-12-21,78
2181,2023-12-22,76
2182,2023-12-23,77
2183,2023-12-24,76
2184,2023-12-25,82
2185,2023-12-26,87
2186,2023-12-27,82
2187,2023-12-28,84
2188,2023-12-29,85
2189,2023-12-30,83
2190,2023-12-31,78
2191,2024-01-01,82
2192,2024-01-02,83
2193,2024-01-03,81
2194,2024-01-04,82
2195,2024-01-05,87
2196,2024-01-06,89
2197,2024-01-07,84
2198,2024-01-08,79
2199,2024-01-09,76
2200,2024-01-10,74
2201,2024-01-11,73
2202,2024-01-12,78
2203,2024-01-13,83
2204,2024-01-14,75
2205,2024-01-15,73
2206,2024-01-16,73
2207,2024-01-17,71
2208,2024-01-18,72
2209,2024-01-19,76
2210,2024-01-20,78
2211,2024-01-21,71
2212,2024-01-22,72
2213,2024-01-23,74
2214,2024-01-24,74
2215,2024-01-25,74
2216,2024-01-26,73
2217,2024-01-27,73
2218,2024-01-28,73
2219,2024-01-29,69
2220,2024-01-30,69
2221,2024-01-31,73
2222,2024-02-01,73
2223,2024-02-02,72
2224,2024-02-03,76
2225,2024-02-04,74
2226,2024-02-05,73
2227,2024-02-06,72
2228,2024-02-07,69
2229,2024-02-08,69
2230,2024-02-09,72
2231,2024-02-10,77
2232,2024-02-11,74
2233,2024-02-12,70
2234,2024-02-13,76
2235,2024-02-14,75
2236,2024-02-15,75
2237,2024-02-16,71
2238,2024-02-17,77
2239,2024-02-18,74
2240,2024-02-19,72
2241,2024-02-20,72
2242,2024-02-21,71
2243,2024-02-22,71
2244,2024-02-23,74
2245,2024-02-24,76
2246,2024-02-25,73
2247,2024-02-26,70
2248,2024-02-27,72
2249,2024-02-28,69
2250,2024-02-29,73
2251,2024-03-01,67
2252,2024-03-02,77
2253,2024-03-03,76
2254,2024-03-04,76
2255,2024-03-05,75
2256,2024-03-06,73
2257,2024-03-07,80
2258,2024-03-08,79
2259,2024-03-09,86
2260,2024-03-10,77
2261,2024-03-11,76
2262,2024-03-12,74
2263,2024-03-13,75
2264,2024-03-14,72
2265,2024-03-15,76
2266,2024-03-16,80
2267,2024-03-17,79
2268,2024-03-18,68
2269,2024-03-19,70
2270,2024-03-20,75
2271,2024-03-21,77
2272,2024-03-22,73
2273,2024-03-23,77
2274,2024-03-24,77
2275,2024-03-25,68
2276,2024-03-26,70
2277,2024-03-27,74
2278,2024-03-28,75
2279,2024-03-29,83
2280,2024-03-30,87
2281,2024-03-31,78
2282,2024-04-01,85
2283,2024-04-02,84
2284,2024-04-03,84
2285,2024-04-04,84
2286,2024-04-05,85
2287,2024-04-06,89
2288,2024-04-07,84
2289,2024-04-08,85
2290,2024-04-09,79
2291,2024-04-10,84
2292,2024-04-11,88
2293,2024-04-12,97
2294,2024-04-13,97
2295,2024-04-14,96
2296,2024-04-15,91
2297,2024-04-16,87
2298,2024-04-17,81
2299,2024-04-18,86
2300,2024-04-19,88
2301,2024-04-20,87
2302,2024-04-21,80
2303,2024-04-22,85
2304,2024-04-23,86
2305,2024-04-24,88
2306,2024-04-25,84
2307,2024-04-26,84
2308,2024-04-27,83
2309,2024-04-28,82
2310,2024-04-29,83
2311,2024-04-30,80
2312,2024-05-01,85
2313,2024-05-02,85
2314,2024-05-03,86
2315,2024-05-04,88
2316,2024-05-05,80
2317,2024-05-06,80
2318,2024-05-07,77
2319,2024-05-08,75
2320,2024-05-09,85
2321,2024-05-10,100
2322,2024-05-11,77
2323,2024-05-12,75
2324,2024-05-13,77
2325,2024-05-14,76
2326,2024-05-15,77
2327,2024-05-16,79
2328,2024-05-17,78
2329,2024-05-18,83
2330,2024-05-19,74
2331,2024-05-20,81
2332,2024-05-21,79
2333,2024-05-22,73
2334,2024-05-23,78
2335,2024-05-24,80
2336,2024-05-25,79
2337,2024-05-26,78
2338,2024-05-27,76
2339,2024-05-28,75
2340,2024-05-29,70
2341,2024-05-30,77
2342,2024-05-31,75
2343,2024-06-01,80
2344,2024-06-02,58
2345,2024-06-03,57
2346,2024-06-04,56
2347,2024-06-05,54
2348,2024-06-06,55
2349,2024-06-07,56
2350,2024-06-08,62
2351,2024-06-09,58
2352,2024-06-10,58
2353,2024-06-11,56
2354,2024-06-12,53
2355,2024-06-13,56
2356,2024-06-14,53
2357,2024-06-15,56
2358,2024-06-16,54
2359,2024-06-17,52
2360,2024-06-18,54
2361,2024-06-19,54
2362,2024-06-20,52
2363,2024-06-21,56
2364,2024-06-22,55
2365,2024-06-23,52
2366,2024-06-24,54
2367,2024-06-25,51
2368,2024-06-26,53
2369,2024-06-27,53
2370,2024-06-28,52
2371,2024-06-29,55
2372,2024-06-30,53
2373,2024-07-01,52
2374,2024-07-02,48
2375,2024-07-03,53
2376,2024-07-04,51
2377,2024-07-05,53
2378,2024-07-06,55
2379,2024-07-07,55
2380,2024-07-08,54
2381,2024-07-09,52
2382,2024-07-10,52
2383,2024-07-11,53
2384,2024-07-12,55
2385,2024-07-13,56
2386,2024-07-14,54
2387,2024-07-15,53
2388,2024-07-16,56
2389,2024-07-17,59
2390,2024-07-18,59
2391,2024-07-19,59
2392,2024-07-20,61
2393,2024-07-21,60
2394,2024-07-22,57
2395,2024-07-23,83
2396,2024-07-24,85
2397,2024-07-25,84
2398,2024-07-26,86
2399,2024-07-27,89
2400,2024-07-28,88
2401,2024-07-29,91
2402,2024-07-30,82
2403,2024-07-31,81
2404,2024-08-01,79
2405,2024-08-02,79
2406,2024-08-03,88
2407,2024-08-04,89
