index,Date,Gold
407,2019-02-12,85
408,2019-02-13,87
409,2019-02-14,87
410,2019-02-15,84
411,2019-02-16,92
412,2019-02-17,93
413,2019-02-18,87
414,2019-02-19,86
415,2019-02-20,88
416,2019-02-21,87
417,2019-02-22,88
418,2019-02-23,93
419,2019-02-24,88
420,2019-02-25,87
421,2019-02-26,82
422,2019-02-27,86
423,2019-02-28,82
424,2019-03-01,87
425,2019-03-02,93
426,2019-03-03,92
427,2019-03-04,86
428,2019-03-05,91
429,2019-03-06,82
430,2019-03-07,89
431,2019-03-08,90
432,2019-03-09,94
433,2019-03-10,89
434,2019-03-11,82
435,2019-03-12,87
436,2019-03-13,88
437,2019-03-14,89
438,2019-03-15,97
439,2019-03-16,92
440,2019-03-17,87
441,2019-03-18,87
442,2019-03-19,86
443,2019-03-20,82
444,2019-03-21,80
445,2019-03-22,85
446,2019-03-23,95
447,2019-03-24,92
448,2019-03-25,88
449,2019-03-26,87
450,2019-03-27,88
451,2019-03-28,85
452,2019-03-29,85
453,2019-03-30,90
454,2019-03-31,88
455,2019-04-01,86
456,2019-04-02,81
457,2019-04-03,88
458,2019-04-04,87
459,2019-04-05,84
460,2019-04-06,90
461,2019-04-07,87
462,2019-04-08,82
463,2019-04-09,82
464,2019-04-10,86
465,2019-04-11,79
466,2019-04-12,83
467,2019-04-13,87
468,2019-04-14,85
469,2019-04-15,80
470,2019-04-16,81
471,2019-04-17,83
472,2019-04-18,79
473,2019-04-19,90
474,2019-04-20,86
475,2019-04-21,96
476,2019-04-22,85
477,2019-04-23,85
478,2019-04-24,85
479,2019-04-25,81
480,2019-04-26,81
481,2019-04-27,87
482,2019-04-28,84
483,2019-04-29,78
484,2019-04-30,86
485,2019-05-01,87
486,2019-05-02,80
487,2019-05-03,88
488,2019-05-04,89
489,2019-05-05,84
490,2019-05-06,84
491,2019-05-07,95
492,2019-05-08,85
493,2019-05-09,83
494,2019-05-10,80
495,2019-05-11,87
496,2019-05-12,83
497,2019-05-13,83
498,2019-05-14,79
499,2019-05-15,79
500,2019-05-16,83
501,2019-05-17,85
502,2019-05-18,90
503,2019-05-19,88
504,2019-05-20,86
505,2019-05-21,84
506,2019-05-22,83
507,2019-05-23,77
508,2019-05-24,81
509,2019-05-25,86
510,2019-05-26,86
511,2019-05-27,81
512,2019-05-28,80
513,2019-05-29,84
514,2019-05-30,82
515,2019-05-31,85
516,2019-06-01,88
517,2019-06-02,69
518,2019-06-03,60
519,2019-06-04,65
520,2019-06-05,61
521,2019-06-06,63
522,2019-06-07,69
523,2019-06-08,69
524,2019-06-09,67
525,2019-06-10,64
526,2019-06-11,67
527,2019-06-12,66
528,2019-06-13,65
529,2019-06-14,68
530,2019-06-15,73
531,2019-06-16,76
532,2019-06-17,73
533,2019-06-18,73
534,2019-06-19,74
535,2019-06-20,82
536,2019-06-21,80
537,2019-06-22,84
538,2019-06-23,81
539,2019-06-24,83
540,2019-06-25,85
541,2019-06-26,86
542,2019-06-27,79
543,2019-06-28,76
544,2019-06-29,86
545,2019-06-30,100
546,2019-07-01,85
547,2019-07-02,78
548,2019-07-03,85
549,2019-07-04,88
550,2019-07-05,77
551,2019-07-06,84
552,2019-07-07,90
553,2019-07-08,98
554,2019-07-09,70
555,2019-07-10,67
556,2019-07-11,72
557,2019-07-12,71
558,2019-07-13,76
559,2019-07-14,70
560,2019-07-15,71
561,2019-07-16,69
562,2019-07-17,70
563,2019-07-18,76
564,2019-07-19,74
565,2019-07-20,81
566,2019-07-21,73
567,2019-07-22,73
568,2019-07-23,72
569,2019-07-24,72
570,2019-07-25,72
571,2019-07-26,70
572,2019-07-27,74
573,2019-07-28,73
574,2019-07-29,72
575,2019-07-30,75
576,2019-07-31,75
577,2019-08-01,74
