Date,Gold,Gold Price
2021-05-12,85,1817.226
2021-05-13,85,1822.378
2021-05-14,86,1842.688
2021-05-17,86,1868.078
2021-05-18,82,1868.595
2021-05-19,85,1875.678
2021-05-20,83,1874.368
2021-05-21,86,1880.898
2021-05-24,82,1879.148
2021-05-25,81,1905.248
2021-05-26,82,1896.458
2021-05-27,80,1893.625
2021-05-28,82,1902.648
2021-06-01,82,1897.865
2021-06-02,45,1904.928
2021-06-03,44,1869.998
2021-06-04,47,1890.708
2021-06-07,46,1895.868
2021-06-08,46,1894.358
2021-06-09,45,1887.178
2021-06-10,44,1899.0
2021-06-11,45,1877.048
2021-06-14,46,1863.508
2021-06-15,46,1857.775
2021-06-16,47,1822.238
2021-06-17,47,1785.718
2021-06-21,45,1788.838
2021-06-22,46,1781.498
2021-06-23,47,1775.798
2021-06-24,44,1777.638
2021-06-25,43,1780.938
2021-06-28,44,1775.038
2021-06-29,42,1761.008
2021-06-30,46,1775.885
2021-07-01,46,1778.738
2021-07-02,46,1786.978
2021-07-06,45,1800.918
2021-07-07,44,1797.368
2021-07-08,45,1805.118
2021-07-09,47,1807.838
2021-07-12,60,1809.308
2021-07-13,53,1812.498
2021-07-14,57,1825.478
2021-07-15,56,1827.318
2021-07-16,58,1811.548
2021-07-19,65,1817.208
2021-07-20,54,1808.525
2021-07-21,57,1798.438
2021-07-22,49,1803.008
2021-07-23,48,1801.698
2021-07-26,76,1799.198
2021-07-27,72,1806.158
2021-07-28,68,1814.908
2021-07-29,78,1828.465
2021-07-30,87,1813.398
2021-08-02,100,1810.725
2021-08-03,64,1813.017
2021-08-04,63,1810.948
2021-08-05,62,1800.978
2021-08-06,68,1762.568
2021-08-09,61,1737.225
2021-08-10,50,1733.738
2021-08-11,47,1750.528
2021-08-12,44,1755.078
2021-08-13,46,1779.218
2021-08-16,50,1785.828
2021-08-17,45,1790.178
2021-08-18,48,1779.898
2021-08-19,45,1785.148
2021-08-20,46,1780.458
2021-08-23,45,1801.168
2021-08-24,42,1794.768
2021-08-25,45,1787.758
2021-08-26,43,1798.058
2021-08-27,45,1816.158
2021-08-30,44,1815.768
2021-08-31,43,1815.178
2021-09-01,44,1811.078
2021-09-02,42,1812.448
2021-09-03,42,1827.288
2021-09-07,42,1797.988
2021-09-08,45,1788.188
2021-09-09,43,1798.058
2021-09-10,44,1787.048
2021-09-13,46,1790.985
2021-09-14,46,1803.404
2021-09-15,46,1791.278
2021-09-16,46,1757.914
2021-09-17,49,1753.488
2021-09-20,47,1761.824
2021-09-21,45,1777.514
2021-09-22,48,1764.088
2021-09-23,47,1752.178
2021-09-24,47,1749.878
2021-09-27,46,1749.714
2021-09-28,48,1740.455
2021-09-29,49,1732.858
2021-09-30,45,1753.918
2021-10-01,49,1760.098
2021-10-04,46,1759.848
2021-10-05,46,1755.468
2021-10-06,48,1760.025
2021-10-07,47,1759.188
2021-10-08,48,1756.608
2021-10-12,48,1761.948
2021-10-13,47,1788.538
2021-10-14,47,1794.988
2021-10-15,48,1766.658
2021-10-18,46,1774.664
2021-10-19,46,1773.978
2021-10-20,49,1786.286
2021-10-21,52,1787.008
2021-10-22,48,1791.628
2021-10-25,56,1803.134
2021-10-26,56,1789.048
2021-10-27,54,1798.678
2021-10-28,52,1796.848
2021-10-29,51,1782.988
2021-11-01,50,1791.068
2021-11-02,49,1783.118
2021-11-03,43,1775.004
2021-11-04,46,1792.764
2021-11-05,46,1817.588
2021-11-08,53,1823.518
2021-11-09,48,1826.373
2021-11-10,48,1849.138
2021-11-12,50,1864.448
2021-11-15,50,1865.564
2021-11-16,49,1854.054
2021-11-17,49,1865.944
2021-11-18,46,1862.518
2021-11-19,46,1845.175
2021-11-22,51,1807.719
2021-11-23,50,1793.558
2021-11-24,50,1791.778
2021-11-26,56,1792.665
2021-11-29,53,1788.508
2021-11-30,52,1779.348
2021-12-01,51,1776.575
2021-12-02,50,1772.198
2021-12-03,51,1782.788
2021-12-06,52,1777.685
2021-12-07,50,1789.238
2021-12-08,55,1785.775
2021-12-09,47,1777.955
2021-12-10,49,1782.288
2021-12-13,49,1785.775
2021-12-14,48,1770.608
2021-12-15,49,1781.755
2021-12-16,48,1802.575
2021-12-17,49,1797.708
2021-12-20,48,1792.008
2021-12-21,48,1788.635
2021-12-22,46,1806.325
2021-12-23,48,1808.355
2021-12-27,49,1809.908
2021-12-28,47,1805.705
2021-12-29,46,1800.598
2021-12-30,46,1817.388
2022-01-03,76,1803.318
2022-01-04,84,1814.888
2022-01-05,76,1805.278
2022-01-06,62,1792.478
2022-01-07,79,1795.808
2022-01-10,71,1806.628
2022-01-11,75,1818.068
